sample_id,duration_s,words,supported_words,text_valid,word_audio_valid,word_pitch_valid,word_expression_valid,word_scene_valid,grid_rows,grid_audio_valid,grid_expression_valid,grid_scene_valid,diagnostic_status
-aNfi7CP8vM$_$7,8.666666000000001,18,14,18,14,12,14,14,87,86,87,87,english_sentence_supported
-aqamKhZ1Ec$_$0,11.0,17,10,17,10,9,10,10,110,109,110,110,english_sentence_supported
-dxfTGcXJoc$_$1,16.133333,38,35,38,35,25,35,35,162,161,162,162,english_sentence_supported
-dxfTGcXJoc$_$0,20.533333,45,37,45,37,30,30,37,206,205,161,206,english_sentence_supported
-dxfTGcXJoc$_$2,16.666666,37,31,37,31,18,31,31,167,167,167,167,english_sentence_supported
-dxfTGcXJoc$_$6,12.733333,30,26,30,26,14,26,26,128,127,128,128,english_sentence_supported
-egA8-b7-3M$_$26,6.0,15,15,15,15,15,15,15,60,60,60,60,english_sentence_supported
-egA8-b7-3M$_$17,7.266666,16,16,16,16,16,16,16,73,71,73,73,english_sentence_supported
-egA8-b7-3M$_$18,8.366666,22,21,22,21,20,21,21,84,83,84,84,english_sentence_supported
-egA8-b7-3M$_$16,5.533333,11,11,11,11,11,11,11,56,55,56,56,english_sentence_supported
-egA8-b7-3M$_$13,4.166666,11,11,11,11,11,11,11,42,41,42,42,english_sentence_supported
-egA8-b7-3M$_$1,10.233333,22,16,22,16,16,16,16,103,102,103,103,english_sentence_supported
-egA8-b7-3M$_$6,6.233333,12,12,12,12,12,12,12,63,62,63,63,english_sentence_supported
-egA8-b7-3M$_$9,5.066666,10,10,10,10,10,10,10,51,50,51,51,english_sentence_supported
-egA8-b7-3M$_$20,6.6333329999999995,20,20,20,20,19,20,20,67,65,67,67,english_sentence_supported
-iRBcNs9oI8$_$3,5.6056,8,0,8,0,0,0,0,57,56,57,57,english_low_text_agreement
-iRBcNs9oI8$_$7,4.070734,9,0,9,0,0,0,0,41,41,41,41,english_low_text_agreement
-iRBcNs9oI8$_$6,2.8695340000000003,5,0,5,0,0,0,0,29,29,29,29,english_low_text_agreement
-iRBcNs9oI8$_$9,3.4034,5,0,5,0,0,0,0,35,34,25,34,english_low_text_agreement
-iRBcNs9oI8$_$8,8.074734,21,0,21,0,0,0,0,81,81,81,81,english_low_text_agreement
-lzEya4AM_4$_$5,7.666666,19,18,19,18,15,18,18,77,76,77,77,english_sentence_supported
-lzEya4AM_4$_$6,14.766666,43,41,43,41,32,41,41,148,148,148,148,english_sentence_supported
-mJ2ud6oKI8$_$1,6.0727340000000005,13,0,13,0,0,0,0,61,61,0,61,no_vad_speech
-mJ2ud6oKI8$_$2,5.7057,11,0,11,0,0,0,0,58,57,25,58,no_vad_speech
-mJ2ud6oKI8$_$6,2.235567,5,0,5,0,0,0,0,23,23,23,23,english_low_text_agreement
-mJ2ud6oKI8$_$9,7.007000000000001,22,0,22,0,0,0,0,71,70,71,71,english_low_text_agreement
-mJ2ud6oKI8$_$8,4.171375,11,0,11,0,0,0,0,42,42,42,42,english_low_text_agreement
-mqbVkbCndg$_$0,6.5,14,13,14,13,13,13,13,65,64,65,65,english_sentence_supported
-t217m2on-s$_$2,5.666666,12,10,12,10,10,10,10,57,57,57,57,english_sentence_supported
-t217m2on-s$_$7,17.166666,45,44,45,44,42,44,44,172,171,172,172,english_sentence_supported
-tANM6ETl_M$_$3,6.733333,22,21,22,21,20,21,21,68,66,68,68,english_sentence_supported
-tPCytz4rww$_$11,5.466666,17,10,17,10,10,10,10,55,54,55,55,english_low_text_agreement
-tPCytz4rww$_$10,4.766666,12,10,12,10,7,10,10,48,47,48,48,english_sentence_supported
-tPCytz4rww$_$12,11.833333000000001,26,18,26,18,18,18,18,119,118,119,119,english_sentence_supported
-tPCytz4rww$_$16,7.2,16,12,16,12,10,12,12,72,72,72,72,english_sentence_supported
-tPCytz4rww$_$18,6.6333329999999995,16,14,16,14,14,14,14,67,66,67,67,english_sentence_supported
-vxjVxOeScU$_$4,9.100000000000001,21,18,21,18,15,18,18,92,91,91,91,english_sentence_supported
-wMB_hJL-3o$_$7,6.033333,22,22,22,22,21,22,22,61,60,60,61,english_sentence_supported
-wny0OAz3g8$_$1,6.833333,22,21,22,21,20,21,21,69,68,69,69,english_sentence_supported
-wny0OAz3g8$_$0,3.3333329999999997,9,9,9,9,8,9,9,34,33,34,34,english_sentence_supported
-wny0OAz3g8$_$3,6.1333329999999995,20,19,20,19,19,19,19,62,61,62,62,english_sentence_supported
-wny0OAz3g8$_$2,6.666666,23,23,23,23,22,23,23,67,66,67,67,english_sentence_supported
-wny0OAz3g8$_$5,6.8999999999999995,20,20,20,20,19,20,20,69,68,69,69,english_sentence_supported
-wny0OAz3g8$_$7,8.066666000000001,29,25,29,25,25,25,25,81,80,81,81,english_sentence_supported
-wny0OAz3g8$_$9,6.2,20,19,20,19,19,19,19,62,61,62,62,english_sentence_supported
-571d8cVauQ$_$0,5.166666,12,10,12,10,10,10,10,52,50,51,52,english_sentence_supported
-571d8cVauQ$_$5,15.266666,43,41,43,41,32,41,41,153,152,153,153,english_sentence_supported
-I_e4mIh0yE$_$1,7.6,18,18,18,18,17,18,18,76,75,76,76,english_sentence_supported
-I_e4mIh0yE$_$3,9.133333,22,15,22,15,8,15,15,92,90,92,92,english_sentence_supported
-UacrmKiTn4$_$10,7.333333,18,18,18,18,16,18,18,74,73,74,74,english_sentence_supported
-UacrmKiTn4$_$4,4.733333,14,14,14,14,14,14,14,48,47,48,48,english_sentence_supported
-hnBHBN8p5A$_$7,7.340656,13,0,13,0,0,0,0,74,74,52,74,english_low_text_agreement
-hnBHBN8p5A$_$6,6.381367,13,0,13,0,0,0,0,64,64,37,64,english_low_text_agreement
-qDkUB0GgYY$_$6,4.666666,16,14,16,14,14,14,14,47,47,47,47,english_sentence_supported
-uywlfIYOS8$_$4,6.033333,18,17,18,17,17,17,17,61,59,61,61,english_sentence_supported
-6rXp3zJ3kc$_$8,12.8,34,30,34,30,27,30,30,128,128,128,128,english_sentence_supported
-9y-fZ3swSY$_$0,6.8999999999999995,22,10,22,10,10,10,10,69,68,69,69,english_low_text_agreement
-9y-fZ3swSY$_$4,2.8,11,10,11,10,7,10,10,28,27,28,28,english_sentence_supported
-9y-fZ3swSY$_$8,4.966666,12,10,12,10,9,9,10,50,50,46,50,english_sentence_supported
-AUZQgSxyPQ$_$2,22.5,41,32,41,32,13,32,32,225,224,225,225,english_sentence_supported
-HeZS2-Prhc$_$2,8.233333,16,15,16,15,15,15,15,83,82,83,83,english_sentence_supported
-MeTTeMJBNc$_$0,9.333333000000001,21,21,21,21,14,21,21,94,93,94,94,english_sentence_supported
-MeTTeMJBNc$_$13,5.3999999999999995,14,12,14,12,8,12,12,54,53,54,54,english_sentence_supported
-MeTTeMJBNc$_$7,10.5,31,28,31,28,21,28,28,105,105,105,105,english_sentence_supported
-RfYyzHpjk4$_$11,5.233333,17,17,17,17,17,17,17,53,51,53,53,english_sentence_supported
-RfYyzHpjk4$_$8,4.566666,17,16,17,16,14,16,16,46,46,46,46,english_sentence_supported
-RfYyzHpjk4$_$2,5.5,25,18,25,18,18,18,18,55,54,55,55,english_sentence_supported
-UUCSKoHeMA$_$0,7.8666659999999995,18,18,18,18,17,18,18,79,78,79,79,english_sentence_supported
-ri04Z7vwnc$_$0,2.7944560000000003,8,0,8,0,0,0,0,28,28,0,28,no_vad_speech
-ri04Z7vwnc$_$2,6.005989,16,0,16,0,0,0,0,61,60,24,61,english_low_text_agreement
-ri04Z7vwnc$_$5,3.5035000000000003,8,0,8,0,0,0,0,36,35,35,35,english_low_text_agreement
-s9qJ7ATP7w$_$1,4.766666,11,9,11,9,6,9,9,48,47,48,48,english_sentence_supported
-s9qJ7ATP7w$_$0,6.8666659999999995,24,16,24,16,15,16,16,69,68,69,69,english_sentence_supported
-s9qJ7ATP7w$_$5,8.533333,19,19,19,19,18,19,19,86,84,86,86,english_sentence_supported
-s9qJ7ATP7w$_$4,4.3999999999999995,9,8,9,8,7,5,8,44,43,31,44,english_sentence_supported
-s9qJ7ATP7w$_$7,6.933333,28,20,28,20,15,13,20,70,69,53,70,english_sentence_supported
-s9qJ7ATP7w$_$6,2.466666,5,3,5,3,1,3,3,25,24,19,25,english_sentence_supported
-s9qJ7ATP7w$_$8,3.266666,12,11,12,11,6,11,11,33,32,33,33,english_sentence_supported
-yRb-Jum7EQ$_$1,29.266665999999997,49,0,49,0,0,0,0,293,292,293,293,non_english_or_language_uncertain
-yRb-Jum7EQ$_$5,13.166666000000001,25,0,25,0,0,0,0,132,131,132,132,non_english_or_language_uncertain
-yRb-Jum7EQ$_$6,11.2425625,19,0,19,0,0,0,0,113,113,112,112,non_english_or_language_uncertain
