sample_id,row,words,baseline_accepted,language,language_probability,vad_seconds,subsequence_word_error_proxy,status,baseline_words,enhanced_words,recovered_words,withheld_words,wide_words,original_text,asr_text,translation
-UuX1xuaiiE$_$1,14,27,True,en,0.998046875,9.9875,0.0,english_sentence_supported,27,27,0,0,0,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,and all of them are really being able to explore these different areas in depth in a way that really wasn't available before the center was here.,
-UuX1xuaiiE$_$0,15,9,True,en,0.98974609375,3.575875,0.0,english_sentence_supported,8,8,0,0,0,^it's amazing to see their enthusiasm and their passion,It's amazing to see their enthusiasm and their passion.,
-UuX1xuaiiE$_$3,16,9,True,en,0.99365234375,4.038375,0.0,english_sentence_supported,9,8,0,1,0,My goal is to become a human rights lawyer,My goal is to become a human rights lawyer.,
-UuX1xuaiiE$_$6,17,23,True,en,0.9951171875,7.5998125,0.0,english_sentence_supported,23,22,0,1,0,"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues",I ended up going to work for the U.S. government as an intelligence analyst specializing in war crimes and human rights issues.,
-a55Q6RWvTA$_$3,18,65,True,en,0.9970703125,22.0833125,0.0,english_sentence_supported,62,61,0,1,0,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.","And if you clip coupons, if you don't go out for dinner, and movies, and things of that nature, and try to take up things in life that, well, they always say, the best things in life are free. Reading a book, going for a nice walk, and of course combining exercise and various things of that nature, where you're not spending money, per se.",
-aNfi7CP8vM$_$7,19,18,True,en,0.99560546875,8.1936875,0.0,english_sentence_supported,17,14,0,3,0,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.","Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",
-aqamKhZ1Ec$_$0,20,17,True,en,0.97314453125,10.6741875,0.11764705882352941,english_sentence_supported,13,10,0,3,2,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.","In 2008, there were very serious tribal warfare in Kenya and even following a disputed election.",
-dxfTGcXJoc$_$1,21,38,True,en,0.9990234375,15.530125,0.07894736842105263,english_sentence_supported,36,35,0,1,0,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.","For the 10th straight year, some of Kentucky's best and most innovative biotech companies and technologies were on display at the annual Bio-International Convention, which I and other state officials attended this week in Chicago.",
-dxfTGcXJoc$_$0,22,45,True,en,1.0,19.474375,0.08888888888888889,english_sentence_supported,40,37,0,3,3,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.","This is Governor Steve Beshear ... About Kentucky. Our state is home to more than 1,500 bioscience and life science companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",
-dxfTGcXJoc$_$2,23,37,True,en,0.99951171875,16.2891875,0.13513513513513514,english_sentence_supported,34,31,0,3,0,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.","An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the Bioconference to learn about the latest scientific advances and to exchange ideas and establish business relationships.",
-dxfTGcXJoc$_$6,24,30,True,en,0.998046875,12.3804375,0.1,english_sentence_supported,27,26,0,1,0,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,Kentucky's participation at the annual Bio-International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,
-egA8-b7-3M$_$26,25,15,True,en,0.98876953125,5.9205625,0.0,english_sentence_supported,15,15,0,0,0,We're updating it all the time and looking forward to your comments on our videos.,We're updating it all the time and looking forward to your comments on our videos.,
-egA8-b7-3M$_$17,26,16,True,en,0.994140625,6.19125,0.0,english_sentence_supported,16,16,0,0,0,"As you have more experience, you have more times exhibiting, you get to know more people.","As you have more experience, you have more times exhibiting, you get to know more people.",
-egA8-b7-3M$_$18,27,22,True,en,0.99755859375,7.9536875,0.0,english_sentence_supported,21,21,0,0,0,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,
-egA8-b7-3M$_$16,28,11,True,en,0.998046875,5.139,0.0,english_sentence_supported,11,11,0,0,0,"Third, another big benefit of exhibiting is connecting with existing clients.","Third, another big benefit of exhibiting is connecting with existing clients.",
-egA8-b7-3M$_$13,29,11,True,en,0.99755859375,3.679875,0.0,english_sentence_supported,11,11,0,0,0,"What are you doing that's different?"" They always want an answer.",What are you doing that's different? They always want an answer.,
-egA8-b7-3M$_$1,30,22,True,en,0.9970703125,10.15625,0.045454545454545456,english_sentence_supported,17,16,0,1,5,I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.,I have started a successful legal nurse consulting business in 1989. I mentor nurses who want to become legal nurse consultants.,
-egA8-b7-3M$_$6,31,12,True,en,0.9951171875,5.488,0.0,english_sentence_supported,12,12,0,0,0,First exhibiting is a wonderful opportunity to network with other legal vendors.,"First, exhibiting is a wonderful opportunity to network with other legal vendors.",
-egA8-b7-3M$_$9,32,10,True,en,0.994140625,4.592125,0.0,english_sentence_supported,10,10,0,0,0,"Secondly, another goal of exhibiting  is building your company image.","Secondly, another goal of exhibiting is building your company image.",
-egA8-b7-3M$_$20,33,20,True,en,0.9990234375,6.1624375,0.0,english_sentence_supported,20,20,0,0,0,"Now you've got a face that you can connect with a voice, and that makes you closer to that client.",Now you've got a face that you can connect with a voice and that makes you closer to that client.,
-iRBcNs9oI8$_$3,34,8,False,en,0.99755859375,5.17825,0.875,english_low_text_agreement,0,0,0,0,1,"Well, it is the secret of power pose","is going to help you on your tests, such as TOEFL, IELTS, or university.",
-iRBcNs9oI8$_$7,35,9,False,en,0.99169921875,4.00575,1.0,english_low_text_agreement,0,0,0,0,9,"Well, for starters, let's look at the word ""power""",interview. And this secret will also help you if you ever,
-iRBcNs9oI8$_$6,36,5,False,en,0.9970703125,2.8204375,1.0,english_low_text_agreement,0,0,0,0,0,What is a power pose,to help you if you have an English job interview.,
-iRBcNs9oI8$_$9,37,5,False,en,0.99853515625,2.424,0.8,english_low_text_agreement,0,0,0,0,3,Power is similar to strength,of power pose.,
-iRBcNs9oI8$_$8,38,21,False,en,0.99853515625,7.4020625,0.9523809523809523,english_low_text_agreement,0,0,0,0,3,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong","decide to ask out that special someone. So what is the secret I'm telling you about? Well, it is the secret...",
-lzEya4AM_4$_$5,39,19,True,en,0.9990234375,6.8096875,0.05263157894736842,english_sentence_supported,18,18,0,0,1,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.","If it falls into any of those three categories, inducing nausea and vomiting would be your next step.",
-lzEya4AM_4$_$6,40,43,True,en,0.998046875,14.396375,0.023255813953488372,english_sentence_supported,42,41,0,1,0,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.","If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea. As the product burned on the way down, it could cause damage and burning on the way back up.",
-mJ2ud6oKI8$_$1,41,13,False,en,0.435546875,0.0,1.0,no_vad_speech,0,0,0,0,13,There are a dozen or more hands on techniques that we can do,,
-mJ2ud6oKI8$_$2,42,11,False,en,0.435546875,0.0,1.0,no_vad_speech,0,0,0,0,11,So physical therapists and chiropractors will do joint manipulations and mobilizations,,
-mJ2ud6oKI8$_$6,43,5,False,en,0.99462890625,2.228125,0.8,english_low_text_agreement,0,0,0,0,0,They are all very safe,that we all want to approach really any...,
-mJ2ud6oKI8$_$9,44,22,False,en,0.9921875,6.90875,0.9545454545454546,english_low_text_agreement,0,0,0,0,9,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time","to find out because you might have hip ulcer arthritis but then you could also have other, you know, dysfunctions around here.",
-mJ2ud6oKI8$_$8,45,11,False,en,0.98974609375,3.571375,0.8181818181818182,english_low_text_agreement,0,0,0,0,1,Sometimes we have to stretch that joint that is already irritated,"We want to evaluate them, you know, give them a full, thorough evaluation to find...",
-mqbVkbCndg$_$0,46,14,True,en,0.85595703125,6.3855,0.07142857142857142,english_sentence_supported,14,13,0,1,0,"How, at a particular moment in time—our moment in time—are they limited","How, at a particular moment in time, our moments in time, are they limited?",
-t217m2on-s$_$2,47,12,True,en,0.99560546875,4.944,0.0,english_sentence_supported,12,10,0,2,2,"But a good thing to do is yawning, chewing gum is effective.",But a good thing to do is yawning. Chewing gum is effective.,
-t217m2on-s$_$7,48,45,True,en,0.9990234375,16.368,0.022222222222222223,english_sentence_supported,45,44,0,1,0,"If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things, it could be something more of a nasal infection or a sinus infection that he would need to deal with.","If you find that your ears persistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things. It could be something more of a nasal infection or a sinus infection that he would need to deal with.",
-tANM6ETl_M$_$3,49,22,True,en,0.998046875,6.259625,0.045454545454545456,english_sentence_supported,21,21,0,0,0,"The first place is either you have a prospect, or a customer who's never done it before, or they've never tried it.",The first place is either you have a prospect or a customer who's never done it before. They've never tried it.,
-tPCytz4rww$_$11,50,17,True,en,0.99951171875,5.3785625,0.29411764705882354,english_low_text_agreement,13,10,0,3,0,"Make sure that your using comps that are not larger, no larger than twelve hundred square feet.","know, make sure that you're using comps that are no larger than 1,200 square feet, no less than 1,000 feet.",
-tPCytz4rww$_$10,51,12,True,en,0.9990234375,4.6788125,0.08333333333333333,english_sentence_supported,11,10,0,1,0,Say twenty percent so if you've got a thousand square foot condo.,footage say 20% so if you've got a thousand square foot condo make sure,
-tPCytz4rww$_$12,52,26,True,en,0.99951171875,11.5601875,0.15384615384615385,english_sentence_supported,21,18,0,3,2,"No less than eight hundred squire feet and going to similar in, similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities.",square feet no less than 800 square feet. They're going to be similar and similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities.,
-tPCytz4rww$_$16,53,16,True,en,0.9990234375,7.1391875,0.125,english_sentence_supported,13,12,0,1,2,So make sure to get a through or to do a through cleaning of the property.,So make sure to get a thorough or to do a thorough cleaning of the property if you need,
-tPCytz4rww$_$18,54,16,True,en,0.99951171875,6.5688125,0.125,english_sentence_supported,16,14,0,2,2,Do so and as well you'll also want to remove any clutter from that you've accumulated.,"out, do so, and as well you'll also want to remove any clutter from the home that you've accumulated over.",
-vxjVxOeScU$_$4,55,21,True,en,0.99560546875,9.0370625,0.0,english_sentence_supported,19,18,0,1,2,"You're going to talk about their life, their marriage and usually how amazing it is that they've stayed together this long.","You're going to talk about their life, their marriage, and usually how amazing it is that they've stayed together this long.",
-wMB_hJL-3o$_$7,56,22,True,en,0.99853515625,5.6315625,0.0,english_sentence_supported,22,22,0,0,0,So if you have a loved one who is depressed those are some of the things that you should think about doing.,"So, if you have a loved one who is depressed, those are some of the things that you should think about doing.",
-wny0OAz3g8$_$1,57,22,True,en,0.99951171875,6.7765625,0.0,english_sentence_supported,22,21,0,1,1,"And because they couldn’t join unions, many Black workers couldn’t get manufacturing or trade work – which paid much better than service work","to join. And because they couldn't join unions, many black workers couldn't get manufacturing or trade work, which paid much better than service work. And because",
-wny0OAz3g8$_$0,58,9,True,en,0.99853515625,3.09,0.0,english_sentence_supported,9,9,0,0,0,trade labor unions didn’t allow Black workers to join,trade labor unions didn't allow black workers to join and because they,
-wny0OAz3g8$_$3,59,20,True,en,0.99951171875,6.099875,0.0,english_sentence_supported,19,19,0,0,0,Which then allowed the white workers and unions to justify their decision to not allow black workers into their union,"behavior, which then allowed the white workers and unions to justify their decision to not allow black workers into their union.",
-wny0OAz3g8$_$2,60,23,True,en,0.99951171875,6.5226875,0.0,english_sentence_supported,23,23,0,0,0,"And because they couldn’t get these jobs, Black communities had more men out of work, higher rates of poverty, and more criminal behavior","service work. And because they couldn't get these jobs, black communities had more men out of work, higher rates of poverty, and more criminal behavior.",
-wny0OAz3g8$_$5,61,20,True,en,0.99951171875,6.7414375,0.0,english_sentence_supported,20,20,0,0,0,"This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant","themselves. This is what's now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant.",
-wny0OAz3g8$_$7,62,29,True,en,0.9990234375,7.9105,0.10344827586206896,english_sentence_supported,27,25,0,2,1,Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent,forces. Omi and Wynne had argued that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent.,
-wny0OAz3g8$_$9,63,20,True,en,0.9990234375,6.0435,0.0,english_sentence_supported,19,19,0,0,0,"He explores why Black and White Americans tend to have such different outcomes in terms of income, education, and more","Wilson. He explores why black and white Americans tend to have such different outcomes in terms of income, education, and more.",
-571d8cVauQ$_$0,64,12,True,en,0.99072265625,4.1043125,0.08333333333333333,english_sentence_supported,12,10,0,2,0,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.","This is Rhett Ryger, White Caspian Studios, on behalf of Expert Village.",
-571d8cVauQ$_$5,65,43,True,en,0.99658203125,15.11525,0.023255813953488372,english_sentence_supported,42,41,0,1,1,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.","us. So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there, and let everybody know this is a very valuable spot. This is gonna",
-I_e4mIh0yE$_$1,66,18,True,en,0.9833984375,7.4443125,0.0,english_sentence_supported,18,18,0,0,0,In the United States we don't punish failure to the degree to which failure is punished in Europe.,"In the United States, we don't punish failure to the degree to which failure is punished in Europe.",
-I_e4mIh0yE$_$3,67,22,True,en,0.994140625,8.650375,0.13636363636363635,english_sentence_supported,22,15,0,7,0,"It's perceived that you have actually learned something, over the course of your carreer, and that you won't make the mistake twice.",It's perceived that you've actually learned something over the course of your career and that you won't make the mistake twice.,
-UacrmKiTn4$_$10,68,18,True,en,0.99951171875,7.2420625,0.0,english_sentence_supported,18,18,0,0,0,"Because, if they are not in any way held accountable for reading the material they won't do it.","reading it because if they are not in any way held accountable for reading the material, they won't do it.",
-UacrmKiTn4$_$4,69,14,True,en,0.99755859375,4.6819375,0.0,english_sentence_supported,14,14,0,0,0,Just given to their own devices they are not going to read the textbook.,"just given to their own devices, they are not going to read the textbook.",
-hnBHBN8p5A$_$7,70,13,False,en,0.9873046875,6.3165625,1.0,english_low_text_agreement,0,0,0,0,0,"Picture this, before we actually start hacking, we’re in a room formal setting","the majority of an entire nation to believe and trust his or her words, isn't that?",
-hnBHBN8p5A$_$6,71,13,False,en,0.98486328125,4.9168125,0.8461538461538461,english_low_text_agreement,0,0,0,0,7,"Discussion, how to discuss ideas and opinions more effectively than a native speaker",to follow just one mission. Have you ever wondered how a single person,
-qDkUB0GgYY$_$6,72,16,True,en,0.99267578125,4.6146875,0.125,english_sentence_supported,14,14,0,0,0,"We always love to hear what you say, and like and share this video as well.",with us. We always love to hear what you have to say and like and share this video as well.,
-uywlfIYOS8$_$4,73,18,True,en,0.998046875,5.881125,0.1111111111111111,english_sentence_supported,18,17,0,1,0,"And then from a brand point of view, we need to make sure we're driving the relevant insight.","is not overdeveloped, and then from a brand point of view, we need to make sure that we're driving the relevant insights.",
-6rXp3zJ3kc$_$8,74,34,True,en,0.99951171875,12.738,0.058823529411764705,english_sentence_supported,34,30,0,4,1,Many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value.,"aware of, many people are not, until they get to be older age and they realize that, gosh, they've wasted a lot of time and money in placing bets on stock that's ultimately lost value.",
-9y-fZ3swSY$_$0,75,22,True,en,0.986328125,6.757,0.4090909090909091,english_low_text_agreement,18,10,0,8,2,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face","You can say, hey, you know what? I really like baby's kid. They're so soft. They don't have any hair on the face. It's so",
-9y-fZ3swSY$_$4,76,11,True,en,0.99658203125,2.5128125,0.0,english_sentence_supported,11,10,0,1,0,I’ve seen this in US or in the US,I've seen this in U.S. or in the U.S.,
-9y-fZ3swSY$_$8,77,12,True,en,0.998046875,4.917,0.0,english_sentence_supported,10,10,0,0,2,That’s a more decent and more polite way to call a lady,them. That's a more decent and more polite way to call a lady.,
-AUZQgSxyPQ$_$2,78,41,True,en,0.99853515625,21.6445625,0.17073170731707318,english_sentence_supported,40,32,0,8,0,"The perfect soul mate to the Clarisonic Spot Therapy Brush, this gentle, Ph balanced and hydrating exfoliant containing jojoba and acai fruit oils and bamboo and prickly bear extracts deliver intense healing, while smooth granules buff away dead, dry skin cells.",the perfect sole make to declare signet spot therapy brush. This gentle pH balanced and hydrating exfoliant contains jojoba and acai fruit oils with bamboo and prickly bear extracts. These deliver intense healing while smooth granules buff away dead dry skin cells.,
-HeZS2-Prhc$_$2,79,16,True,en,0.9833984375,7.910875,0.0,english_sentence_supported,16,15,0,1,0,The August jobs report is out and it was seen overall as solid but not great.,today. The August jobs report is out and it was seen overall as solid but not great.,
-MeTTeMJBNc$_$0,80,21,True,en,0.9970703125,8.4583125,0.0,english_sentence_supported,21,21,0,0,0,"Okay, what happens at this point after we've taken this brief walk down memory lane, is the presentation of the gift.","Okay, what happens at this point after we've taken this brief walk down memory lane is the presentation of the gift",
-MeTTeMJBNc$_$13,81,14,True,en,0.9990234375,5.2555,0.14285714285714285,english_sentence_supported,14,12,0,2,1,"It just needs to be a simple statement, and then you present the gift.",it is. Jess needs to be a simple statement and then you present the gift.,
-MeTTeMJBNc$_$7,82,31,True,en,0.99755859375,10.4113125,0.06451612903225806,english_sentence_supported,30,28,0,2,0,"Maybe you could find a picture of the couple from their wedding or sometime in their life, or maybe even a current picture and have it put in a beautiful frame.","Maybe you could find a picture of the couple from their wedding or some time in their life, or maybe even a current picture and have it put in a beautiful frame.",
-RfYyzHpjk4$_$11,83,17,True,en,0.9990234375,4.666875,0.0,english_sentence_supported,17,17,0,0,0,"So get your friends lined up, get your business colleagues lined up and have a good time.","So get your friends lined up, get your business colleagues lined up and have a good time.",
-RfYyzHpjk4$_$8,84,17,True,en,0.99072265625,4.532375,0.058823529411764705,english_sentence_supported,17,16,0,1,0,"It's pretty, pretty easy to do but you got to set up those numbers ahead of time.","It's pretty, pretty easy to do, but you've got to set up those numbers ahead of time.",
-RfYyzHpjk4$_$2,85,25,True,en,0.97998046875,5.0798125,0.08,english_sentence_supported,20,18,0,2,0,"You can make a conference call but it takes quite a bit of planning, well not a lot of planning it's pretty easy to do.","It can make a confidence call, but it takes quite a bit of planning. Well, not a lot of planning. It's pretty easy to do.",
-UUCSKoHeMA$_$0,86,18,True,en,0.9990234375,6.71625,0.0,english_sentence_supported,18,18,0,0,0,"I mentioned a word in the last clip called 'monotone', and I want to talk about that briefly.","Okay, I mentioned a word in the last clip called monotone and I want to talk about that briefly what you",
-ri04Z7vwnc$_$0,87,8,False,en,0.435546875,0.0,1.0,no_vad_speech,0,0,0,0,8,going to get married or are already married,,
-ri04Z7vwnc$_$2,88,16,False,en,0.79443359375,2.121375,1.0,english_low_text_agreement,0,0,0,0,9,"most people think it'll sort itself out, ""we'll discuss it later,"" it's not something too important","Hi, I'm Ajanta.",
-ri04Z7vwnc$_$5,89,8,False,en,0.833984375,3.43975,0.875,english_low_text_agreement,0,0,0,0,8,""" So I think it's important to discuss finances","And a lot of people who are working, you know, money is very important.",
-s9qJ7ATP7w$_$1,90,11,True,en,0.99462890625,4.2998125,0.09090909090909091,english_sentence_supported,10,9,0,1,1,"But the hardest thing in life to learn, is to lose",The hardest thing in life to learn is to lose. Winning's easy.,
-s9qJ7ATP7w$_$0,91,24,True,en,0.99169921875,6.7105625,0.25,english_sentence_supported,23,16,0,7,0,"they have doubt, they have fear, they lose in a Ferrari race, or they lose in a race, and then they just give up",They lose in a Ferrari race or they lose in a race and then they just give up.,
-s9qJ7ATP7w$_$5,92,19,True,en,0.99365234375,8.397875,0.0,english_sentence_supported,19,19,0,0,0,"I have been beat up and put down and everything that can go wrong, has gone wrong for me","We have, I have been beat up and put down and everything that can go wrong has gone wrong for me, but",
-s9qJ7ATP7w$_$4,93,9,True,en,0.99755859375,4.246875,0.1111111111111111,english_sentence_supported,9,8,0,1,0,"I have lost at everything you can imagine, seriously","keep going. I have lost that everything you can imagine. Seriously, we have",
-s9qJ7ATP7w$_$7,94,28,True,en,0.99462890625,6.8385625,0.17857142857142858,english_sentence_supported,27,20,0,7,0,"I used to work for Warren Avis, the guy who started Avis Rent a Car, and he said to me one day, ""Robert, ""what's the purpose of business","I used to work for Warren Avis, the guy who started Avis Renekar, and he sets me one day, Robert, what's the purpose of business?",
-s9qJ7ATP7w$_$6,95,5,False,en,0.9951171875,2.3148125,0.0,english_sentence_supported,0,3,3,0,1,But I just kept going,"for me, but I just kept going.",
-s9qJ7ATP7w$_$8,96,12,True,en,0.99755859375,3.18425,0.0,english_sentence_supported,12,11,0,1,0,""" And I said, ""Oh, make a profit, and all these other things",business and I said oh make a profit and all these other things they said no.,
-yRb-Jum7EQ$_$1,97,49,False,he,0.9580078125,25.90175,1.0,non_english_or_language_uncertain,0,0,0,0,24,"it comes with the assistance and agitation of states and regimes, Yesterday Iran announced that it will finance the families of the terrorists and murderers this shows that Iran, even after the nuclear agreement, is continuing to aid terrorism, including Palestinian terrorism, Hezbollah terrorism and its assistance to Hamas.","הוא בא מסיוע ומתססה של מדינות ומשטרים, אתמול איראן היהודייה שהיא הולכת לממן את המשפחות של הטרוריסטים המרצחים, וזה מראה שאיראן אחר הסכם הגרעין ממשיכה בסיוע לתרור גם שם, גם הטרור הפלסטיני, גם הטרור של חיז בלה, כמובן גם בסיוע לחמאס.","He came from Syria, and he is the founder of countries and countries. He is like the Jewish Iranian, who goes to protect the families of the terrorists who attack them. This means that Iran, after the war, will continue to attack terror, both there, the Palestinian terror, and the terror of Khizballah, of course, also in Syria on Thursday."
-yRb-Jum7EQ$_$5,98,25,False,he,0.94140625,12.1805625,1.0,non_english_or_language_uncertain,0,0,0,0,14,"Yesterday Eliav Gelman lost his life in another terrorist attack, not by the students of terrorism, but by those who teach terrorism, a Palestinian teacher.","אתמול אליאב גודמן זיכרונו לברכה איבדת חייו במעלך של התקפה נוספת והפעם לא של תלמידי הטרור אלא של מכנחי הטרור, של מורי פלסטין","As for El Yav Gudman, a member of the Liberation Union, he died in the course of a different attack, and this time it was not a terrorist attack, it was a terrorist attack, a Palestinian attack."
-yRb-Jum7EQ$_$6,99,19,False,he,0.99609375,9.1705625,1.0,non_english_or_language_uncertain,0,0,0,0,4,"Therefore, the world needs to stand with Israel against this incitement, which is the number one cause of terrorism.","ולכן העולם צריך להתייצב עם ישראל, נגד ההשתה הזאת, שהיא גורם מספר אחד לטבור. אני מודה לכם. תודה רבה.","Therefore, the world needs to deal with Israel against this attempt, which will end in a one-off. Thank you very much."
